# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -5219 6 35 78 12455907 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/CssJail/CssJail.scss
DUPTYPE_FIRST_OCCURRENCE 10029 5 36 78 12592051 5 /openedx/staticfiles/js/bower/jquery/src/var/arr.73fe8cc31324.js
DUPTYPE_WITHIN_SAME_TREE -10029 6 36 78 12715035 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/arr.js
DUPTYPE_WITHIN_SAME_TREE -10029 5 36 78 12587536 5 /openedx/staticfiles/js/bower/jquery/src/var/arr.js
DUPTYPE_WITHIN_SAME_TREE -10029 9 36 78 12590891 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/var/arr.73fe8cc31324.js
DUPTYPE_WITHIN_SAME_TREE -10029 10 36 78 12715719 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/arr.js
DUPTYPE_WITHIN_SAME_TREE -10029 9 36 78 12588521 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/var/arr.js
DUPTYPE_WITHIN_SAME_TREE -10029 6 36 78 12720890 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/arr.73fe8cc31324.js
DUPTYPE_WITHIN_SAME_TREE -10029 10 36 78 12720077 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/arr.73fe8cc31324.js
DUPTYPE_FIRST_OCCURRENCE 9725 5 37 78 12591613 5 /openedx/staticfiles/edx-bootstrap/node_modules/bootstrap/scss/utilities/_clearfix.01ed6cc70519.scss
DUPTYPE_WITHIN_SAME_TREE -9725 5 37 78 12586120 5 /openedx/staticfiles/edx-bootstrap/node_modules/bootstrap/scss/utilities/_clearfix.scss
DUPTYPE_FIRST_OCCURRENCE 12701 6 40 78 12591249 5 /openedx/staticfiles/js/bower/jquery/src/ajax/var/rquery.86cc4813fe7e.js
DUPTYPE_WITHIN_SAME_TREE -12701 11 40 78 12720039 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/ajax/var/rquery.86cc4813fe7e.js
DUPTYPE_WITHIN_SAME_TREE -12701 11 40 78 12715768 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/ajax/var/rquery.js
DUPTYPE_WITHIN_SAME_TREE -12701 7 40 78 12720329 5 /openedx/staticfiles/studio/js/bower/jquery/src/ajax/var/rquery.86cc4813fe7e.js
DUPTYPE_WITHIN_SAME_TREE -12701 7 40 78 12715084 5 /openedx/staticfiles/studio/js/bower/jquery/src/ajax/var/rquery.js
DUPTYPE_WITHIN_SAME_TREE -12701 10 40 78 12588570 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/ajax/var/rquery.js
DUPTYPE_WITHIN_SAME_TREE -12701 6 40 78 12587586 5 /openedx/staticfiles/js/bower/jquery/src/ajax/var/rquery.js
